Time,Evap Time (s),Mass (kg),Major Axis (m),Eff Diameter (m),Perimeter (m),Snowflake Area (m^2),Rectangle Area (m^2),Water Droplet Area (m^2),Spherical Density (kg/m^3),Heat Flux Density (kg/m^3),Heat Flux Volume (m^3),Spherical Volume (m^3),Delta Temp Max,Delta Temp Mean,Complexity,SDI,PBP SWE (mm),FBF SWE (mm),PBP SWE Accumulation (mm),FBF SWE Accumulation (mm),PBP Snow (mm),FBF Snow (mm),PBP Snow Accumulation (mm),FBF Snow Accumulation (mm),SWE factor,Delta Temp Range,Area Range,Delta Temp Flag,Area Flag,Missing Data
24-Mar-2026 09:51:53.800,1.66666666666667,1.57258804183006e-07,0.00256826899825212,0.0024032837272242,0.006708775,4.53628125e-06,4.93950625e-06,3.52236301558402e-07,21.7021992253809,41.3443947080473,3.80363058386721e-09,7.24621512086623e-09,98.3725490196078,50.8125490196078,1.08888888888889,12.8785171486587,1.65817438086346e-05,1.98499508773237e-05,1.65817438086346e-05,1.98499508773237e-05,0.000401063890902896,0.000480112262314969,0.000401063890902896,0.000480112262314969,1.19709670505145,89.2745098039216,4.33466875e-06,0,0,0
24-Mar-2026 09:51:53.866,1.53333333333333,2.57295764133987e-07,0.00329897655012732,0.00314372212463941,0.0091481275,7.76208125e-06,9.0725625e-06,4.89079234900308e-07,15.8636856865473,58.5649695132454,4.39333899210509e-09,1.62191667950266e-08,84.156862745098,37.2821824381927,1.16883116883117,15.8708051704182,2.71298797296696e-05,3.24770896328296e-05,4.37116235383042e-05,5.23270405101532e-05,0.000463244153547007,0.000554548049845469,0.000864308044449903,0.00103466031216044,1.19709670505145,75.0588235294118,7.35885625e-06,0,0,0
24-Mar-2026 09:51:53.866,0.333333333333333,4.40379680065359e-08,0.00173054490756043,0.0014330415422113,0.003597275,1.6129e-06,2.016125e-06,1.50767933042234e-07,28.6651913608838,114.559448818898,3.84411486442762e-10,1.53628725e-09,89.2745098039216,72.2156862745098,1.25,10.6978982032485,4.64346849851052e-06,5.55868083957713e-06,4.83550920368147e-05,5.78857213497303e-05,4.0533265011175e-05,4.85222379898547e-05,0.000904841309461078,0.00108318255015029,1.19709670505145,37.5294117647059,1.209675e-06,0,0,0
24-Mar-2026 09:51:53.866,0.666666666666667,7.87440444934641e-08,0.00246921396296461,0.0022084653374109,0.006086475,3.8306375e-06,4.2338625e-06,2.22110596344611e-07,14.003928034807,64.6618405517927,1.21778229356759e-09,5.62299694041161e-09,79.6078431372549,48.1627450980392,1.10526315789474,17.2465319666994,8.30296007291806e-06,9.93944614546393e-06,5.66580521097328e-05,6.78251674951943e-05,0.000128405872800165,0.000153714247238333,0.00103324718226124,0.00123689679738863,1.19709670505145,56.2941176470588,3.4274125e-06,0,0,0
24-Mar-2026 09:51:53.866,0.733333333333333,6.95038668954248e-08,0.0022721980851257,0.00199470940729476,0.00544322,3.12499375e-06,4.2338625e-06,2.0437610189661e-07,16.7754421045854,59.9774062948936,1.15883415420954e-09,4.14319136640975e-09,79.6078431372549,51.0730837789661,1.35483870967742,15.2904068577493,7.3286536836957e-06,8.77310717721527e-06,6.39867057934285e-05,7.65982746724095e-05,0.000122190240232507,0.000146273533971778,0.00115543742249375,0.0013831703313604,1.19709670505145,51.7450980392157,2.92338125e-06,0,0,0
24-Mar-2026 09:51:53.933,1.73333333333333,1.39940158660131e-07,0.00220216179429478,0.00205804922858107,0.0055298975,3.32660625e-06,4.2338625e-06,3.2587599819427e-07,30.7523989329694,50.8296571153714,2.75312025698893e-09,4.55054446208104e-09,98.3725490196078,48.2239819004525,1.27272727272727,10.2081965791689,1.4755624472011e-05,1.76639094364209e-05,7.87423302654395e-05,9.42621841088304e-05,0.000290295573675014,0.000347511874737379,0.00144573299616876,0.00173068220609778,1.19709670505145,84.156862745098,3.12499375e-06,0,0,0
24-Mar-2026 09:51:54.066,0.4,3.43850777614379e-08,0.00127,0.00107478115665848,0.00237363,9.0725625e-07,9.0725625e-07,1.27841190724292e-07,53.0534699865494,139.087542087542,2.47218961852068e-10,6.4812118359375e-10,98.3725490196078,68.8039215686274,1,7.0967443658799,3.62564470232537e-06,4.34024732684094e-06,8.23679749677649e-05,9.86024314356714e-05,2.60673576361238e-05,3.12051479356014e-05,0.00147180035380489,0.00176188735403338,1.19709670505145,46.6274509803922,5.0403125e-07,0,0,0
24-Mar-2026 09:51:54.066,0.0666666666666667,4.03541254901961e-09,0.000733234841870825,0.000716520771105651,0.00112903,4.03225e-07,4.03225e-07,3.06442803348311e-08,21.0138438577531,202,1.99772898466317e-11,1.9203590625e-10,75.0588235294118,75.0588235294118,1,13.1582466807577,4.25503534747232e-07,5.09368879433655e-07,8.27934785025121e-05,9.9111800315105e-05,2.10645314231303e-06,2.5216281160082e-06,0.0014739068069472,0.00176440898214939,1.19709670505145,0,0,1,1,0
24-Mar-2026 09:51:54.066,0.133333333333333,1.01802452941176e-08,0.00109985226280624,0.000877555139657192,0.00175133,6.048375e-07,6.048375e-07,5.67888352737066e-08,28.8561850679166,202,5.03972539312755e-11,3.52792486954085e-10,65.3921568627451,63.1176470588235,1,10.6506410473969,1.0734293717487e-06,1.28499876402581e-06,8.38669078742608e-05,0.000100396799079131,5.31400679083515e-06,6.36138001992977e-06,0.00147922081373804,0.00177077036216932,1.19709670505145,4.54901960784314,0,0,1,0
24-Mar-2026 09:51:54.066,1.33333333333333,1.58061300996732e-07,0.00231430017037571,0.00211949702405454,0.00583184,3.52821875e-06,4.93950625e-06,3.53433600256255e-07,31.8002865559717,70.376718328841,2.24593167669708e-09,4.97043637385242e-09,98.3725490196078,48.2196078431373,1.4,9.98269193263426,1.666636098884e-05,1.99512458249383e-05,0.000100533268863101,0.000120348044904069,0.000236816398726707,0.000283492130617891,0.00171603721246474,0.00205426249278721,1.19709670505145,79.6078431372549,3.32660625e-06,0,0,0
