Time,Evap Time (s),Mass (kg),Major Axis (m),Eff Diameter (m),Perimeter (m),Snowflake Area (m^2),Rectangle Area (m^2),Water Droplet Area (m^2),Spherical Density (kg/m^3),Heat Flux Density (kg/m^3),Heat Flux Volume (m^3),Spherical Volume (m^3),Delta Temp Max,Delta Temp Mean,Complexity,SDI,PBP SWE (mm),FBF SWE (mm),PBP SWE Accumulation (mm),FBF SWE Accumulation (mm),PBP Snow (mm),FBF Snow (mm),PBP Snow Accumulation (mm),FBF Snow Accumulation (mm),SWE factor,Delta Temp Range,Area Range,Delta Temp Flag,Area Flag,Missing Data
24-Mar-2026 09:51:59.266,0.533333333333333,8.33985260130719e-08,0.0023393321229706,0.00202662678443928,0.0055902225,3.2258e-06,4.2338625e-06,2.30779051006675e-07,19.1929156753744,100.852122986823,8.26938725166634e-10,4.34527652930173e-09,98.3725490196078,48.546568627451,1.3125,13.9778718472445,8.79373971810946e-06,1.05269568416289e-05,0.00124782135076253,0.00149376282749067,8.71943937090788e-05,0.000104380121408097,0.0211668180748647,0.0253387281738439,1.19709670505145,75.0588235294118,2.822575e-06,0,0,0
24-Mar-2026 09:51:59.466,0.6,1.14573616519608e-07,0.0029701976773313,0.00237643055225357,0.0073180575,4.435475e-06,6.35079375e-06,2.85198485133268e-07,16.3535918618505,67.4067758881667,1.69973441111758e-09,7.00602152037827e-09,98.3725490196078,64.5076252723312,1.43181818181818,15.5522389886727,1.20809156996132e-05,1.44620243780112e-05,0.00125990226646214,0.00150822485186868,0.000179224054858467,0.000214548525537031,0.0213460421297232,0.025553276699381,1.19709670505145,75.0588235294118,4.13305625e-06,0,0,0
24-Mar-2026 09:51:59.466,1.06666666666667,1.13832262320261e-07,0.00220516019970948,0.00199470940729476,0.005464175,3.12499375e-06,3.629025e-06,2.83966894045428e-07,27.4745364752248,61.9739628393688,1.83677559260338e-09,4.14319136640975e-09,93.8235294117647,55.6544117647059,1.16129032258065,11.0047819500398,1.20027455426615e-05,1.4368447140691e-05,0.0012719050120048,0.00152259329900937,0.000193674004255167,0.000231846512347981,0.0215397161339783,0.025785123211729,1.19709670505145,65.9607843137255,2.92338125e-06,0,0,0
24-Mar-2026 09:51:59.466,0.266666666666667,1.66002198039216e-08,0.0016923153991666,0.00129172619007821,0.003208655,1.31048125e-06,1.51209375e-06,7.86743853939936e-08,14.7538837716986,120.534065934066,1.3772222545784e-10,1.12514237341118e-09,56.2941176470588,39.8039215686274,1.15384615384615,16.6570255800187,1.75036681339202e-06,2.09535834494299e-06,0.00127365537881819,0.00152468865735431,1.45217602992792e-05,1.73839514058141e-05,0.0215542378942776,0.0258025071631348,1.19709670505145,32.9803921568627,9.0725625e-07,0,0,0
24-Mar-2026 09:51:59.466,0.933333333333333,1.49157407777778e-07,0.00285882621635082,0.00211949702405454,0.00665099,3.52821875e-06,4.8387e-06,3.40032700484346e-07,30.0089160304794,123.911111111111,1.20374522058824e-09,4.97043637385242e-09,60.8431372549019,36.9201680672269,1.37142857142857,10.37611601759,1.57275132275132e-05,1.88273542633091e-05,0.00128938289204571,0.00154351601161762,0.000126925770308123,0.000151942421421971,0.0216811636645857,0.0259544495845567,1.19709670505145,37.5294117647059,2.72176875e-06,0,0,0
24-Mar-2026 09:51:59.666,0.466666666666667,3.76944217647059e-08,0.00211061038339059,0.00189573576955779,0.0050257075,2.822575e-06,3.629025e-06,1.35917545635326e-07,10.5985776573151,88.2899680964197,4.26938898919304e-10,3.5565547551269e-09,79.6078431372549,32.7366946778711,1.28571428571429,20.7668184913604,3.97458983593437e-06,4.75796839652801e-06,0.00129335748188164,0.00154827398001415,4.50174569277656e-05,5.38902493580236e-05,0.0217261811215135,0.0260083398339148,1.19709670505145,60.843137254902,2.52015625e-06,0,0,0
24-Mar-2026 09:51:59.666,0.133333333333333,1.50334403104575e-08,0.00176858582823484,0.00134048761799221,0.0034134425,1.4112875e-06,1.51209375e-06,7.36427025996344e-08,11.9556686962447,164.052023121387,9.16382500161781e-11,1.25743199250575e-09,51.7450980392157,49.1862745098039,1.07142857142857,19.1639829905836,1.58516184251478e-06,1.89759201864773e-06,0.00129494264372416,0.0015501715720328,9.66255589144349e-06,1.15670138200224e-05,0.0217358436774049,0.0260199068477348,1.19709670505145,5.11764705882352,5.0403125e-07,0,0,0
24-Mar-2026 09:51:59.733,0.2,2.15527715686274e-08,0.0011593460800526,0.00107478115665848,0.00237363,9.0725625e-07,9.0725625e-07,9.36324133063404e-08,33.2542310206867,157.055417700579,1.37230360366919e-10,6.4812118359375e-10,98.3725490196078,76.3856209150327,1,9.68955320025447,2.27257569694544e-06,2.72049287879339e-06,0.0012972152194211,0.00155289206491159,1.44698968696389e-05,1.7321865865079e-05,0.0217503135742746,0.0260372287135999,1.19709670505145,32.9803921568627,4.03225e-07,0,0,0
24-Mar-2026 09:51:59.733,0.4,3.5615572875817e-08,0.00183528549096137,0.0016021891514828,0.0041906825,2.016125e-06,2.52015625e-06,1.30873210402945e-07,16.5883232074834,69.7274074074074,5.10782979033197e-10,2.14702670247888e-09,98.3725490196078,63.9705882352941,1.25,15.4051772229974,3.75539104530701e-06,4.49556624651673e-06,0.00130097061046641,0.00155738763115811,5.385817693414e-05,6.44734461479368e-05,0.0218041717512087,0.0261017021597478,1.19709670505145,60.843137254902,1.8145125e-06,0,0,0
24-Mar-2026 09:51:59.733,0.666666666666667,5.08324410294117e-08,0.00254105811293904,0.00179130192776413,0.00525145,2.52015625e-06,2.822575e-06,1.65901931958215e-07,16.9409788482322,93.29875,5.44835177635411e-10,3.00056103515625e-09,98.3725490196078,32.7529411764706,1.12,15.1906383503403,5.35989395758303e-06,6.4163113960478e-06,0.00130633050442399,0.00156380394255416,5.74487220630826e-05,6.87716758911326e-05,0.0218616204732718,0.0261704738356389,1.19709670505145,79.6078431372549,2.31854375e-06,0,0,0
